District,2007,2008,2009,2010,2011
Bajhang,2011,2284,3066,3104,1875
Dadeldhura,1419,1702,2021,2061,1261
Arghakhanchi,1859,2284,2365,2535,2063
Darchula,1483,1505,1838,1957,1382
Chitwan,4468,4634,6488,6488,1527
Panchthar,2063,2173,3177,3184,2096
Sindhupalchok,2699,2699,3201,3460,1802
Udayapur,2230,2230,2908,2988,1924
Mugu,486,486,589,682,468
Khotang,2164,2257,2294,2763,902
Kathmandu,18501,18501,18018,18018,10894
Banke,2900,3200,3535,3845,2114
Gorkha,3156,3319,3483,3485,2185
Baitadi,2276,2525,3073,3080,2016
Jajarkot,1477,1479,1647,1655,909
Taplejung,1733,1824,2255,2321,1669
Dolpa,523,523,533,635,480
Kavrepalanchok,6504,6504,6989,7136,4416
Ilam,2974,3054,3421,3482,2601
Saptari,2292,2295,2570,2847,660
Rolpa,1571,1805,2157,2248,1471
Pyuthan,1713,2073,2031,2381,1523
Solukhumbu,1228,1228,1557,1557,1306
Sunsari,4216,4221,4527,4832,4116
Myagdi,1252,1252,1562,1570,1382
Rasuwa,540,598,607,679,506
Kalikot,986,1272,1885,1885,899
Parbat,2287,2351,2702,2702,2131
Gulmi,3246,3863,4040,4238,2497
Lamjung,2656,2731,3074,3160,2361
Doti,1738,2185,2511,2511,1625
Okhaldhunga,1509,1719,2114,2206,1527
Achham,2281,2283,3295,3295,1754
Dolakha,2342,2405,2740,2962,2030
Rukum,1377,1377,1540,1596,161
Dhading,3462,3727,3985,4381,1078
Kaski,6308,6469,7068,7476,6387
Humla,459,461,617,622,402
Bhaktapur,4739,4739,5141,5141,2184
Sindhuli,2492,2934,3558,3660,1523
Jhapa,6153,7086,9748,9767,5719
Dhankuta,1743,1930,2132,2159,1614
Manang,212,213,206,207,198
Bardiya,2541,2843,3140,3140,2222
Nuwakot,2551,2758,2532,2599,2269
Ramechhap,2112,2455,2891,2915,1930
Terhathum,1423,1489,1598,1624,1384
Rautahat,2061,2063,2287,2387,1723
Kapilbastu,3447,3447,3807,3973,2058
Jumla,804,805,1089,1089,550
Bara,2291,2291,2893,2893,1483
Bajura,1114,1293,1449,2159,1003
Dhanusha,2347,2434,2540,2589,1666
Kanchanpur,2756,3117,3120,3120,2034
Palpa,3407,3859,4316,4423,3330
Dailekh,1929,1929,2327,2327,1597
Sankhuwasabha,1937,2065,2226,2502,1778
Tanahu,3887,4525,4547,4573,2603
Nawalparasi,4435,5668,5023,5958,4048
Surkhet,2904,2907,3183,3309,2711
Mahottari,2157,2157,2300,2466,1658
Bhojpur,1901,2193,2360,2368,1713
Kailali,5055,5388,5099,5116,4349
Makwanpur,3660,3837,4738,4792,3061
Siraha,2383,2383,2715,2797,1988
Salyan,1683,1702,1749,1833,1703
Parsa,2358,2358,2757,2757,2094
Lalitpur,6374,6374,6331,6331,5403
Morang,4755,4962,4923,5133,5345
Sarlahi,2155,2369,2344,2823,1631
Mustang,395,470,449,480,330
Dang,3450,4607,4606,4615,3700
Baglung,3232,3729,4087,4087,2970
Syangja,4156,4716,5291,5318,3785
Rupandehi,4179,5311,6098,8780,3666
